Country,Date Range,Segment,Users
United States,"Jan 1, 2023 - Jun 30, 2023",All Users,11238
United States,"Jan 1, 2023 - Jun 30, 2023",With /es/,237
United States,"Jan 1, 2023 - Jun 30, 2023",Without /es/,11072
China,"Jan 1, 2023 - Jun 30, 2023",All Users,1775
China,"Jan 1, 2023 - Jun 30, 2023",With /es/,2
China,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1774
United Kingdom,"Jan 1, 2023 - Jun 30, 2023",All Users,1457
United Kingdom,"Jan 1, 2023 - Jun 30, 2023",With /es/,12
United Kingdom,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1448
Canada,"Jan 1, 2023 - Jun 30, 2023",All Users,927
Canada,"Jan 1, 2023 - Jun 30, 2023",With /es/,4
Canada,"Jan 1, 2023 - Jun 30, 2023",Without /es/,923
Germany,"Jan 1, 2023 - Jun 30, 2023",All Users,763
Germany,"Jan 1, 2023 - Jun 30, 2023",With /es/,20
Germany,"Jan 1, 2023 - Jun 30, 2023",Without /es/,750
India,"Jan 1, 2023 - Jun 30, 2023",All Users,744
India,"Jan 1, 2023 - Jun 30, 2023",With /es/,6
India,"Jan 1, 2023 - Jun 30, 2023",Without /es/,739
Australia,"Jan 1, 2023 - Jun 30, 2023",All Users,598
Australia,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Australia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,597
Spain,"Jan 1, 2023 - Jun 30, 2023",All Users,427
Spain,"Jan 1, 2023 - Jun 30, 2023",With /es/,65
Spain,"Jan 1, 2023 - Jun 30, 2023",Without /es/,370
Netherlands,"Jan 1, 2023 - Jun 30, 2023",All Users,360
Netherlands,"Jan 1, 2023 - Jun 30, 2023",With /es/,4
Netherlands,"Jan 1, 2023 - Jun 30, 2023",Without /es/,357
Mexico,"Jan 1, 2023 - Jun 30, 2023",All Users,336
Mexico,"Jan 1, 2023 - Jun 30, 2023",With /es/,49
Mexico,"Jan 1, 2023 - Jun 30, 2023",Without /es/,291
France,"Jan 1, 2023 - Jun 30, 2023",All Users,240
France,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
France,"Jan 1, 2023 - Jun 30, 2023",Without /es/,239
Philippines,"Jan 1, 2023 - Jun 30, 2023",All Users,215
Philippines,"Jan 1, 2023 - Jun 30, 2023",With /es/,5
Philippines,"Jan 1, 2023 - Jun 30, 2023",Without /es/,210
Italy,"Jan 1, 2023 - Jun 30, 2023",All Users,202
Italy,"Jan 1, 2023 - Jun 30, 2023",With /es/,4
Italy,"Jan 1, 2023 - Jun 30, 2023",Without /es/,199
Brazil,"Jan 1, 2023 - Jun 30, 2023",All Users,191
Brazil,"Jan 1, 2023 - Jun 30, 2023",With /es/,5
Brazil,"Jan 1, 2023 - Jun 30, 2023",Without /es/,187
Türkiye,"Jan 1, 2023 - Jun 30, 2023",All Users,191
Türkiye,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Türkiye,"Jan 1, 2023 - Jun 30, 2023",Without /es/,190
Colombia,"Jan 1, 2023 - Jun 30, 2023",All Users,159
Colombia,"Jan 1, 2023 - Jun 30, 2023",With /es/,30
Colombia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,132
Sweden,"Jan 1, 2023 - Jun 30, 2023",All Users,153
Sweden,"Jan 1, 2023 - Jun 30, 2023",With /es/,2
Sweden,"Jan 1, 2023 - Jun 30, 2023",Without /es/,151
South Korea,"Jan 1, 2023 - Jun 30, 2023",All Users,124
South Korea,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
South Korea,"Jan 1, 2023 - Jun 30, 2023",Without /es/,124
Argentina,"Jan 1, 2023 - Jun 30, 2023",All Users,119
Argentina,"Jan 1, 2023 - Jun 30, 2023",With /es/,19
Argentina,"Jan 1, 2023 - Jun 30, 2023",Without /es/,101
Guatemala,"Jan 1, 2023 - Jun 30, 2023",All Users,113
Guatemala,"Jan 1, 2023 - Jun 30, 2023",With /es/,73
Guatemala,"Jan 1, 2023 - Jun 30, 2023",Without /es/,42
Japan,"Jan 1, 2023 - Jun 30, 2023",All Users,108
Japan,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Japan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,108
Russia,"Jan 1, 2023 - Jun 30, 2023",All Users,106
Russia,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Russia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,105
South Africa,"Jan 1, 2023 - Jun 30, 2023",All Users,106
South Africa,"Jan 1, 2023 - Jun 30, 2023",With /es/,4
South Africa,"Jan 1, 2023 - Jun 30, 2023",Without /es/,105
Pakistan,"Jan 1, 2023 - Jun 30, 2023",All Users,101
Pakistan,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Pakistan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,100
Israel,"Jan 1, 2023 - Jun 30, 2023",All Users,98
Israel,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Israel,"Jan 1, 2023 - Jun 30, 2023",Without /es/,97
Greece,"Jan 1, 2023 - Jun 30, 2023",All Users,95
Greece,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Greece,"Jan 1, 2023 - Jun 30, 2023",Without /es/,95
Indonesia,"Jan 1, 2023 - Jun 30, 2023",All Users,91
Indonesia,"Jan 1, 2023 - Jun 30, 2023",With /es/,2
Indonesia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,89
Austria,"Jan 1, 2023 - Jun 30, 2023",All Users,89
Austria,"Jan 1, 2023 - Jun 30, 2023",With /es/,2
Austria,"Jan 1, 2023 - Jun 30, 2023",Without /es/,87
Switzerland,"Jan 1, 2023 - Jun 30, 2023",All Users,88
Switzerland,"Jan 1, 2023 - Jun 30, 2023",With /es/,3
Switzerland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,85
Belgium,"Jan 1, 2023 - Jun 30, 2023",All Users,86
Belgium,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Belgium,"Jan 1, 2023 - Jun 30, 2023",Without /es/,85
Romania,"Jan 1, 2023 - Jun 30, 2023",All Users,86
Romania,"Jan 1, 2023 - Jun 30, 2023",With /es/,4
Romania,"Jan 1, 2023 - Jun 30, 2023",Without /es/,82
Poland,"Jan 1, 2023 - Jun 30, 2023",All Users,85
Poland,"Jan 1, 2023 - Jun 30, 2023",With /es/,2
Poland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,83
Ireland,"Jan 1, 2023 - Jun 30, 2023",All Users,82
Ireland,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Ireland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,81
Norway,"Jan 1, 2023 - Jun 30, 2023",All Users,76
Norway,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Norway,"Jan 1, 2023 - Jun 30, 2023",Without /es/,76
Denmark,"Jan 1, 2023 - Jun 30, 2023",All Users,71
Denmark,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Denmark,"Jan 1, 2023 - Jun 30, 2023",Without /es/,71
Singapore,"Jan 1, 2023 - Jun 30, 2023",All Users,69
Singapore,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
Singapore,"Jan 1, 2023 - Jun 30, 2023",Without /es/,68
Malaysia,"Jan 1, 2023 - Jun 30, 2023",All Users,66
Malaysia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Malaysia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,66
(not set),"Jan 1, 2023 - Jun 30, 2023",All Users,65
(not set),"Jan 1, 2023 - Jun 30, 2023",With /es/,0
(not set),"Jan 1, 2023 - Jun 30, 2023",Without /es/,65
Peru,"Jan 1, 2023 - Jun 30, 2023",All Users,64
Peru,"Jan 1, 2023 - Jun 30, 2023",With /es/,3
Peru,"Jan 1, 2023 - Jun 30, 2023",Without /es/,61
Chile,"Jan 1, 2023 - Jun 30, 2023",All Users,63
Chile,"Jan 1, 2023 - Jun 30, 2023",With /es/,6
Chile,"Jan 1, 2023 - Jun 30, 2023",Without /es/,58
Portugal,"Jan 1, 2023 - Jun 30, 2023",All Users,63
Portugal,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Portugal,"Jan 1, 2023 - Jun 30, 2023",Without /es/,63
Iran,"Jan 1, 2023 - Jun 30, 2023",All Users,59
Iran,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
