Region,Date Range,Segment,Users
California,"Jan 1, 2023 - Jun 30, 2023",All Users,1886
California,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,75
California,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1844
Virginia,"Jan 1, 2023 - Jun 30, 2023",All Users,899
Virginia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,15
Virginia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,887
New York,"Jan 1, 2023 - Jun 30, 2023",All Users,665
New York,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2
New York,"Jan 1, 2023 - Jun 30, 2023",Without /es/,663
Texas,"Jan 1, 2023 - Jun 30, 2023",All Users,594
Texas,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,7
Texas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,588
New Jersey,"Jan 1, 2023 - Jun 30, 2023",All Users,545
New Jersey,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,11
New Jersey,"Jan 1, 2023 - Jun 30, 2023",Without /es/,536
Ohio,"Jan 1, 2023 - Jun 30, 2023",All Users,544
Ohio,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,5
Ohio,"Jan 1, 2023 - Jun 30, 2023",Without /es/,543
(not set),"Jan 1, 2023 - Jun 30, 2023",All Users,428
(not set),"Jan 1, 2023 - Jun 30, 2023",Spanish Website,11
(not set),"Jan 1, 2023 - Jun 30, 2023",Without /es/,417
Massachusetts,"Jan 1, 2023 - Jun 30, 2023",All Users,404
Massachusetts,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,6
Massachusetts,"Jan 1, 2023 - Jun 30, 2023",Without /es/,402
Florida,"Jan 1, 2023 - Jun 30, 2023",All Users,381
Florida,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,10
Florida,"Jan 1, 2023 - Jun 30, 2023",Without /es/,377
Washington,"Jan 1, 2023 - Jun 30, 2023",All Users,349
Washington,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,12
Washington,"Jan 1, 2023 - Jun 30, 2023",Without /es/,339
Georgia,"Jan 1, 2023 - Jun 30, 2023",All Users,339
Georgia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
Georgia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,338
Pennsylvania,"Jan 1, 2023 - Jun 30, 2023",All Users,293
Pennsylvania,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
Pennsylvania,"Jan 1, 2023 - Jun 30, 2023",Without /es/,292
Illinois,"Jan 1, 2023 - Jun 30, 2023",All Users,283
Illinois,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Illinois,"Jan 1, 2023 - Jun 30, 2023",Without /es/,283
North Carolina,"Jan 1, 2023 - Jun 30, 2023",All Users,278
North Carolina,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,7
North Carolina,"Jan 1, 2023 - Jun 30, 2023",Without /es/,274
Michigan,"Jan 1, 2023 - Jun 30, 2023",All Users,264
Michigan,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
Michigan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,263
Oregon,"Jan 1, 2023 - Jun 30, 2023",All Users,199
Oregon,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,14
Oregon,"Jan 1, 2023 - Jun 30, 2023",Without /es/,186
Indiana,"Jan 1, 2023 - Jun 30, 2023",All Users,173
Indiana,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Indiana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,173
Maryland,"Jan 1, 2023 - Jun 30, 2023",All Users,162
Maryland,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Maryland,"Jan 1, 2023 - Jun 30, 2023",Without /es/,162
Tennessee,"Jan 1, 2023 - Jun 30, 2023",All Users,137
Tennessee,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Tennessee,"Jan 1, 2023 - Jun 30, 2023",Without /es/,137
Alabama,"Jan 1, 2023 - Jun 30, 2023",All Users,132
Alabama,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2
Alabama,"Jan 1, 2023 - Jun 30, 2023",Without /es/,131
Colorado,"Jan 1, 2023 - Jun 30, 2023",All Users,132
Colorado,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
Colorado,"Jan 1, 2023 - Jun 30, 2023",Without /es/,131
Iowa,"Jan 1, 2023 - Jun 30, 2023",All Users,132
Iowa,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,4
Iowa,"Jan 1, 2023 - Jun 30, 2023",Without /es/,128
Arizona,"Jan 1, 2023 - Jun 30, 2023",All Users,130
Arizona,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,3
Arizona,"Jan 1, 2023 - Jun 30, 2023",Without /es/,130
Connecticut,"Jan 1, 2023 - Jun 30, 2023",All Users,126
Connecticut,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
Connecticut,"Jan 1, 2023 - Jun 30, 2023",Without /es/,125
Minnesota,"Jan 1, 2023 - Jun 30, 2023",All Users,111
Minnesota,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Minnesota,"Jan 1, 2023 - Jun 30, 2023",Without /es/,111
Wisconsin,"Jan 1, 2023 - Jun 30, 2023",All Users,111
Wisconsin,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2
Wisconsin,"Jan 1, 2023 - Jun 30, 2023",Without /es/,110
Missouri,"Jan 1, 2023 - Jun 30, 2023",All Users,105
Missouri,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,6
Missouri,"Jan 1, 2023 - Jun 30, 2023",Without /es/,102
South Carolina,"Jan 1, 2023 - Jun 30, 2023",All Users,98
South Carolina,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
South Carolina,"Jan 1, 2023 - Jun 30, 2023",Without /es/,97
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",All Users,97
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",Without /es/,97
Nevada,"Jan 1, 2023 - Jun 30, 2023",All Users,95
Nevada,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2
Nevada,"Jan 1, 2023 - Jun 30, 2023",Without /es/,93
Kentucky,"Jan 1, 2023 - Jun 30, 2023",All Users,69
Kentucky,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Kentucky,"Jan 1, 2023 - Jun 30, 2023",Without /es/,69
Utah,"Jan 1, 2023 - Jun 30, 2023",All Users,66
Utah,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Utah,"Jan 1, 2023 - Jun 30, 2023",Without /es/,66
Arkansas,"Jan 1, 2023 - Jun 30, 2023",All Users,54
Arkansas,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
Arkansas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,53
Louisiana,"Jan 1, 2023 - Jun 30, 2023",All Users,53
Louisiana,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Louisiana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,53
Kansas,"Jan 1, 2023 - Jun 30, 2023",All Users,52
Kansas,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
Kansas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,51
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",All Users,48
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47
Montana,"Jan 1, 2023 - Jun 30, 2023",All Users,47
Montana,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Montana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47
West Virginia,"Jan 1, 2023 - Jun 30, 2023",All Users,47
West Virginia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
West Virginia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47
Wyoming,"Jan 1, 2023 - Jun 30, 2023",All Users,47
Wyoming,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Wyoming,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47
Idaho,"Jan 1, 2023 - Jun 30, 2023",All Users,45
Idaho,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2
Idaho,"Jan 1, 2023 - Jun 30, 2023",Without /es/,43
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",All Users,38
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",Without /es/,38
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",All Users,36
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",Without /es/,36
Maine,"Jan 1, 2023 - Jun 30, 2023",All Users,35
Maine,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Maine,"Jan 1, 2023 - Jun 30, 2023",Without /es/,35
Mississippi,"Jan 1, 2023 - Jun 30, 2023",All Users,31
Mississippi,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0
Mississippi,"Jan 1, 2023 - Jun 30, 2023",Without /es/,31
New Mexico,"Jan 1, 2023 - Jun 30, 2023",All Users,31
New Mexico,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1
New Mexico,"Jan 1, 2023 - Jun 30, 2023",Without /es/,31
Nebraska,"Jan 1, 2023 - Jun 30, 2023",All Users,29
