Country,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,CoreText - PDF Viewed (Goal 1 Conversion Rate),CoreText - PDF Viewed (Goal 1 Completions),CoreText - PDF Viewed (Goal 1 Value),,,
United States,"Jan 1, 2023 - Jun 30, 2023",All Users,10532,10449,14081,0.15%,5.32,00:01:44,<0.01%,1,$0.00,,,
United States,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,195,145,526,0.00%,18.61,00:12:14,0.00%,0,$0.00,,,
United States,"Jan 1, 2023 - Jun 30, 2023",Without /es/,10407,10304,13555,0.15%,4.81,00:01:19,<0.01%,1,$0.00,,,
China,"Jan 1, 2023 - Jun 30, 2023",All Users,1758,1757,1815,3.14%,2.6,00:00:15,0.00%,0,$0.00,,,
China,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,2,2,0.00%,12,00:05:14,0.00%,0,$0.00,,,
China,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1757,1755,1813,3.14%,2.59,00:00:15,0.00%,0,$0.00,,,
United Kingdom,"Jan 1, 2023 - Jun 30, 2023",All Users,1397,1378,1779,0.34%,4.58,00:01:06,0.00%,0,$0.00,,,
United Kingdom,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,10,6,43,0.00%,20.63,00:07:57,0.00%,0,$0.00,,,
United Kingdom,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1391,1372,1736,0.35%,4.18,00:00:55,0.00%,0,$0.00,,,
Canada,"Jan 1, 2023 - Jun 30, 2023",All Users,893,885,1081,0.00%,3.91,00:00:57,0.00%,0,$0.00,,,
Canada,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,4,4,6,0.00%,4,00:00:59,0.00%,0,$0.00,,,
Canada,"Jan 1, 2023 - Jun 30, 2023",Without /es/,889,881,1075,0.00%,3.91,00:00:57,0.00%,0,$0.00,,,
India,"Jan 1, 2023 - Jun 30, 2023",All Users,724,722,891,0.22%,4.3,00:01:12,0.00%,0,$0.00,,,
India,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,6,5,6,0.00%,14.5,00:06:55,0.00%,0,$0.00,,,
India,"Jan 1, 2023 - Jun 30, 2023",Without /es/,720,717,885,0.23%,4.24,00:01:09,0.00%,0,$0.00,,,
Germany,"Jan 1, 2023 - Jun 30, 2023",All Users,717,706,921,0.00%,5.54,00:01:26,0.00%,0,$0.00,,,
Germany,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,19,15,23,0.00%,29.83,00:08:17,0.00%,0,$0.00,,,
Germany,"Jan 1, 2023 - Jun 30, 2023",Without /es/,705,691,898,0.00%,4.92,00:01:16,0.00%,0,$0.00,,,
Australia,"Jan 1, 2023 - Jun 30, 2023",All Users,584,579,660,0.15%,3.68,00:00:34,0.00%,0,$0.00,,,
Australia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Australia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,583,578,659,0.15%,3.68,00:00:34,0.00%,0,$0.00,,,
Spain,"Jan 1, 2023 - Jun 30, 2023",All Users,407,399,526,0.19%,4.65,00:01:22,0.00%,0,$0.00,,,
Spain,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,64,60,76,0.00%,8.09,00:03:03,0.00%,0,$0.00,,,
Spain,"Jan 1, 2023 - Jun 30, 2023",Without /es/,351,339,450,0.22%,4.07,00:01:04,0.00%,0,$0.00,,,
